Air quality monitoring: PM10(TEOM),,,,
Unit: µg/m³,,,,
Year,Station,St.type,Average,36th highest day
2019,Copenhagen/1103,Street,26,45
2018,Copenhagen/1103,Street,31,53
2017,Copenhagen/1103,Street,26,46
2016,Copenhagen/1103,Street,31,52
2015,Copenhagen/1103,Street,29,47
2014,Copenhagen/1103,Street,29,42
2013,Copenhagen/1103,Street,29,48
2012,Copenhagen/1103,Street,30,47
2011,Copenhagen/1103,Street,29,24
2011,Copenhagen/1259,Urban backgr.,12,18
2010,Copenhagen/1103,Street,25,24
2010,Copenhagen/1259,Urban backgr.,14,11
2009,Copenhagen/1103,Street,-,-
2009,Copenhagen/1259,Urban backgr.,-,-
2008,Copenhagen/1103,Street,25,-
2008,Copenhagen/1259,Urban backgr.,-,-
2007,Copenhagen/1103,Street,-,-
2007,Copenhagen/1259,Urban backgr.,15,-
2006,Copenhagen/1103,Street,33,-
2006,Copenhagen/1259,Urban backgr.,-,-
2005,Copenhagen/1103,Street,34,49
2005,Copenhagen/1257,Street,24,36
2005,Copenhagen/1259,Urban backgr.,17,25
2004,Copenhagen/1103,Street,32,45
2004,Copenhagen/1257,Street,23,35
2004,Copenhagen/1259,Urban backgr.,16,23
